GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17
Id,Id2,Geography,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Male; Margin of Error; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Female; Margin of Error; Percent bachelor's degree or higher
0400000US01,01,Alabama,22.0,0.2,22.2,0.2,21.7,0.3
0400000US02,02,Alaska,27.2,0.6,25.4,0.7,29.1,0.7
0400000US04,04,Arizona,26.4,0.2,27.6,0.3,25.3,0.2
0400000US05,05,Arkansas,19.6,0.2,19.8,0.3,19.4,0.3
0400000US06,06,California,30.2,0.1,30.9,0.1,29.6,0.1
0400000US08,08,Colorado,36.3,0.2,36.9,0.3,35.7,0.3
0400000US09,09,Connecticut,35.7,0.3,36.7,0.3,34.9,0.3
0400000US10,10,Delaware,28.0,0.4,28.4,0.5,27.6,0.6
0400000US11,11,District of Columbia,50.5,0.5,51.6,0.6,49.4,0.7
0400000US12,12,Florida,26.0,0.1,27.2,0.2,24.9,0.2
0400000US13,13,Georgia,27.5,0.2,27.7,0.2,27.3,0.2
0400000US15,15,Hawaii,29.5,0.4,28.9,0.5,30.1,0.5
0400000US16,16,Idaho,24.6,0.3,25.9,0.4,23.3,0.4
0400000US17,17,Illinois,30.7,0.2,31.0,0.2,30.3,0.2
0400000US18,18,Indiana,22.7,0.2,23.2,0.2,22.3,0.2
0400000US19,19,Iowa,24.9,0.2,24.7,0.3,25.0,0.3
0400000US20,20,Kansas,29.7,0.2,30.1,0.3,29.3,0.3
0400000US21,21,Kentucky,20.6,0.2,20.4,0.2,20.8,0.2
0400000US22,22,Louisiana,21.1,0.2,20.5,0.2,21.7,0.3
0400000US23,23,Maine,27.1,0.3,26.2,0.4,27.9,0.4
0400000US24,24,Maryland,36.1,0.2,36.6,0.2,35.6,0.3
0400000US25,25,Massachusetts,38.7,0.2,39.4,0.3,38.1,0.2
0400000US26,26,Michigan,25.3,0.1,25.9,0.2,24.7,0.1
0400000US27,27,Minnesota,31.8,0.2,31.9,0.2,31.7,0.2
0400000US28,28,Mississippi,19.7,0.3,18.9,0.3,20.4,0.3
0400000US29,29,Missouri,25.4,0.2,25.7,0.2,25.1,0.2
0400000US30,30,Montana,28.2,0.4,28.1,0.5,28.3,0.5
0400000US31,31,Nebraska,27.8,0.3,27.9,0.3,27.8,0.3
0400000US32,32,Nevada,22.2,0.3,22.6,0.3,21.7,0.3
0400000US33,33,New Hampshire,33.1,0.4,33.4,0.5,32.8,0.5
0400000US34,34,New Jersey,35.0,0.2,36.3,0.2,33.8,0.2
0400000US35,35,New Mexico,25.4,0.3,25.5,0.4,25.4,0.3
0400000US36,36,New York,32.5,0.1,32.5,0.2,32.5,0.2
0400000US37,37,North Carolina,26.5,0.2,26.3,0.2,26.7,0.2
0400000US38,38,North Dakota,26.5,0.4,25.1,0.6,27.9,0.5
0400000US39,39,Ohio,24.5,0.2,25.2,0.2,23.8,0.2
0400000US40,40,Oklahoma,23.0,0.2,23.4,0.3,22.7,0.2
0400000US41,41,Oregon,29.0,0.2,29.6,0.3,28.4,0.3
0400000US42,42,Pennsylvania,26.7,0.1,27.5,0.2,25.9,0.2
0400000US44,44,Rhode Island,30.6,0.4,31.6,0.5,29.8,0.4
0400000US45,45,South Carolina,24.2,0.2,24.5,0.3,23.9,0.2
0400000US46,46,South Dakota,25.8,0.4,25.5,0.5,26.1,0.5
0400000US47,47,Tennessee,23.0,0.2,23.3,0.3,22.8,0.2
0400000US48,48,Texas,26.1,0.1,26.8,0.2,25.3,0.2
0400000US49,49,Utah,29.6,0.3,32.7,0.4,26.5,0.4
0400000US50,50,Vermont,33.8,0.4,32.1,0.5,35.5,0.5
0400000US51,51,Virginia,34.4,0.2,35.1,0.2,33.7,0.2
0400000US53,53,Washington,31.4,0.2,32.5,0.3,30.3,0.2
0400000US54,54,West Virginia,17.6,0.3,17.4,0.3,17.8,0.3
0400000US55,55,Wisconsin,26.0,0.2,25.8,0.2,26.3,0.2
0400000US56,56,Wyoming,24.2,0.6,24.0,0.7,24.4,0.7
0400000US72,72,Puerto Rico,22.0,0.2,18.3,0.2,25.1,0.3
