"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=6&linechart=~~&freq=A&start=2010&end=2014&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sun Apr 30 2017 20:47:40 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014"
"Average retail price of electricity","cents per kilowatthour",,,,,,
"United States : commercial","cents per kilowatthour","ELEC.PRICE.US-COM.A",10.19,10.24,10.09,10.26,10.74
"United States : industrial","cents per kilowatthour","ELEC.PRICE.US-IND.A",6.77,6.82,6.67,6.89,7.10
"New England : commercial","cents per kilowatthour","ELEC.PRICE.NEW-COM.A",14.72,14.31,13.68,13.97,14.70
"New England : industrial","cents per kilowatthour","ELEC.PRICE.NEW-IND.A",12.98,12.55,11.83,12.25,11.84
"Connecticut : commercial","cents per kilowatthour","ELEC.PRICE.CT-COM.A",16.45,15.57,14.65,14.63,15.55
"Connecticut : industrial","cents per kilowatthour","ELEC.PRICE.CT-IND.A",14.51,13.24,12.67,12.61,12.92
"Maine : commercial","cents per kilowatthour","ELEC.PRICE.ME-COM.A",12.51,12.29,11.53,11.74,12.70
"Maine : industrial","cents per kilowatthour","ELEC.PRICE.ME-IND.A",9.17,8.88,7.98,8.34,8.95
"Massachusetts : commercial","cents per kilowatthour","ELEC.PRICE.MA-COM.A",14.53,14.33,13.84,14.23,14.68
"Massachusetts : industrial","cents per kilowatthour","ELEC.PRICE.MA-IND.A",13.71,13.38,12.57,13.18,12.74
"New Hampshire : commercial","cents per kilowatthour","ELEC.PRICE.NH-COM.A",14.25,14.04,13.36,13.52,14.34
"New Hampshire : industrial","cents per kilowatthour","ELEC.PRICE.NH-IND.A",12.76,12.27,11.83,11.40,11.93
"Rhode Island : commercial","cents per kilowatthour","ELEC.PRICE.RI-COM.A",13.10,12.37,11.87,12.92,14.56
"Rhode Island : industrial","cents per kilowatthour","ELEC.PRICE.RI-IND.A",11.83,11.27,10.68,11.82,12.86
"Vermont : commercial","cents per kilowatthour","ELEC.PRICE.VT-COM.A",13.44,14.00,14.32,14.66,14.56
"Vermont : industrial","cents per kilowatthour","ELEC.PRICE.VT-IND.A",9.53,9.83,9.98,10.84,10.23
"Middle Atlantic : commercial","cents per kilowatthour","ELEC.PRICE.MAT-COM.A",13.93,13.65,12.97,13.06,13.65
"Middle Atlantic : industrial","cents per kilowatthour","ELEC.PRICE.MAT-IND.A",8.40,8.17,7.49,7.27,7.61
"New Jersey : commercial","cents per kilowatthour","ELEC.PRICE.NJ-COM.A",13.89,13.47,12.78,12.77,13.15
"New Jersey : industrial","cents per kilowatthour","ELEC.PRICE.NJ-IND.A",11.81,11.43,10.52,10.80,11.38
"New York : commercial","cents per kilowatthour","ELEC.PRICE.NY-COM.A",16.31,15.81,15.06,15.35,16.12
"New York : industrial","cents per kilowatthour","ELEC.PRICE.NY-IND.A",8.79,7.83,6.70,6.58,6.58
"Pennsylvania : commercial","cents per kilowatthour","ELEC.PRICE.PA-COM.A",10.10,10.03,9.44,9.25,9.73
"Pennsylvania : industrial","cents per kilowatthour","ELEC.PRICE.PA-IND.A",7.66,7.73,7.23,6.97,7.41
"East North Central : commercial","cents per kilowatthour","ELEC.PRICE.ENC-COM.A",9.36,9.49,9.46,9.58,10.02
