id,state,time,job,edu,uni,minw,GDP,eind,ecom,unemp
0,01,2010,3.9,21.7,847072.0,7.25,14964.4,6.01,10.18,10.5
1,02,2010,3.7,27.0,180888.0,7.75,14964.4,13.95,14.14,7.9
2,04,2010,6,26.3,944795.0,7.25,14964.4,9.47,6.63,10.4
3,05,2010,4.5,19.1,267405.0,7.25,14964.4,5.44,7.31,8.2
4,06,2010,4.7,30.1,7832767.0,8.0,14964.4,13.09,9.8,12.2
5,08,2010,5.2,35.9,1180741.0,7.24,14964.4,9.13,6.9,8.7
6,09,2010,3.6,35.2,888949.0,8.25,14964.4,14.51,16.45,9.1
7,10,2010,4.4,27.7,168511.0,7.25,14964.4,11.36,9.57,8.4
8,11,2010,4.2,49.2,470217.0,8.25,14964.4,13.42,7.74,9.4
9,12,2010,6.2,25.9,1994860.0,7.25,14964.4,9.76,8.85,11.1
10,13,2010,4.9,27.2,1691603.0,7.25,14964.4,9.06,6.22,10.5
11,15,2010,4.4,29.4,317942.0,7.25,14964.4,21.94,25.93,6.9
12,16,2010,4.7,24.3,126433.0,7.25,14964.4,5.15,6.64,9.0
13,17,2010,3.9,30.3,2224414.0,8.25,14964.4,8.88,6.82,10.4
14,18,2010,3.4,22.4,1186421.0,7.25,14964.4,5.87,8.38,10.4
15,19,2010,3.1,24.5,706667.0,7.25,14964.4,5.36,7.91,6.0
16,20,2010,3.5,29.3,482901.0,7.25,14964.4,6.23,8.25,7.1
17,21,2010,4.3,20.3,575277.0,7.25,14964.4,7.88,5.05,10.2
18,22,2010,4.2,20.9,713675.0,7.25,14964.4,8.5,5.84,8.0
19,23,2010,4.1,26.5,137516.0,7.5,14964.4,12.51,9.17,8.1
20,24,2010,4,35.7,3139254.0,7.25,14964.4,11.75,9.58,7.7
21,25,2010,3.8,38.3,2749926.0,8.0,14964.4,13.71,14.53,8.3
22,26,2010,3.9,25.0,2031479.0,7.4,14964.4,7.08,9.81,12.6
23,27,2010,4,31.4,831754.0,6.15,14964.4,6.29,8.38,7.4
24,28,2010,3.9,19.5,443625.0,7.25,14964.4,9.32,6.32,10.4
25,29,2010,4,25.0,1087432.0,7.25,14964.4,5.5,7.5,9.6
26,30,2010,4.6,27.9,207827.0,7.25,14964.4,5.55,8.55,7.3
27,31,2010,3.5,27.7,367793.0,7.25,14964.4,6.0,7.63,4.6
28,32,2010,6.8,21.8,174247.0,8.25,14964.4,7.37,9.79,13.5
29,33,2010,4,32.9,311455.0,7.25,14964.4,14.25,12.76,5.8
30,34,2010,4.3,34.6,1075872.0,7.25,14964.4,11.81,13.89,9.5
31,35,2010,4,25.5,422868.0,7.5,14964.4,6.01,8.57,8.1
32,36,2010,4.5,32.1,4948442.0,7.25,14964.4,8.79,16.31,8.6
33,37,2010,4.7,26.1,2465260.0,7.25,14964.4,8.16,6.17,10.9
34,38,2010,3.7,26.3,204049.0,7.25,14964.4,7.21,5.81,3.8
35,39,2010,3.8,24.1,2051857.0,7.3,14964.4,9.73,6.4,10.3
36,40,2010,4.6,22.6,400731.0,7.25,14964.4,5.35,7.45,6.8
37,41,2010,4.4,28.6,696272.0,8.4,14964.4,5.4,7.59,10.6
38,42,2010,3.9,26.4,3128420.0,7.25,14964.4,7.66,10.1,8.5
39,44,2010,4.2,30.3,428738.0,7.4,14964.4,11.83,13.1,11.2
40,45,2010,4.8,24.0,660415.0,7.25,14964.4,5.74,8.9,11.2
41,46,2010,4.1,25.3,131165.0,7.25,14964.4,7.55,6.07,5.0
42,47,2010,4.1,22.7,938237.0,7.25,14964.4,9.66,6.58,9.7
43,48,2010,5.5,25.8,4416323.0,7.25,14964.4,6.44,9.19,8.1
44,49,2010,5.1,29.4,562349.0,7.25,14964.4,4.93,7.15,7.8
45,50,2010,3.3,33.3,132792.0,8.06,14964.4,13.44,9.53,6.1
46,51,2010,4.5,33.8,1199244.0,7.25,14964.4,7.65,6.66,7.1
47,53,2010,4.7,31.0,1358061.0,8.55,14964.4,4.08,7.37,10.0
48,54,2010,3.9,17.3,194834.0,7.25,14964.4,5.86,7.66,8.7
49,55,2010,3.3,25.8,1335621.0,7.25,14964.4,9.98,6.85,8.7
50,56,2010,4.1,23.6,55319.0,7.25,14964.4,4.98,7.42,6.4
51,01,2011,4.1,22.0,898422.0,7.25,15517.9,6.25,10.47,9.6
52,02,2011,4,27.2,185942.0,7.75,15517.9,15.1,15.71,7.6
53,04,2011,5.2,26.4,997700.0,7.35,15517.9,9.5,6.55,9.5
54,05,2011,4.3,19.6,282628.0,7.25,15517.9,5.63,7.5,8.3
55,06,2011,4.6,30.2,8225420.0,8.0,15517.9,13.05,10.11,11.7
56,08,2011,4.9,36.3,1292081.0,7.36,15517.9,9.44,7.06,8.4
57,09,2011,3.6,35.7,945705.0,8.25,15517.9,13.24,15.57,8.8
58,10,2011,3.8,28.0,188765.0,7.25,15517.9,10.64,8.91,7.5
59,11,2011,3.8,50.5,493469.0,8.25,15517.9,12.9,6.89,10.2
60,12,2011,6.3,26.0,2125648.0,7.31,15517.9,9.85,8.55,10.0
61,13,2011,4.7,27.5,1808679.0,7.25,15517.9,9.87,6.6,10.2
62,15,2011,4.1,29.5,330838.0,7.25,15517.9,28.4,32.37,6.8
63,16,2011,4.2,24.6,142364.0,7.25,15517.9,5.1,6.41,8.3
64,17,2011,4,30.7,2352326.0,8.25,15517.9,8.64,6.42,9.7
65,18,2011,3.6,22.7,1271364.0,7.25,15517.9,6.17,8.77,9.1
66,19,2011,3.2,24.9,724608.0,7.25,15517.9,5.21,7.85,5.5
67,20,2011,4.3,29.7,511048.0,7.25,15517.9,6.71,8.78,6.5
68,21,2011,3.7,20.6,596081.0,7.25,15517.9,8.49,5.33,9.4
69,22,2011,4.4,21.1,727510.0,7.25,15517.9,8.44,5.69,7.8
70,23,2011,4,27.1,139983.0,7.5,15517.9,12.29,8.88,7.9
71,24,2011,4.4,36.1,3416687.0,7.25,15517.9,11.28,8.76,7.2
72,25,2011,3.3,38.7,2949264.0,8.0,15517.9,13.38,14.33,7.3
73,26,2011,3.8,25.3,2161520.0,7.4,15517.9,7.32,10.33,10.4
74,27,2011,3.6,31.8,898741.0,6.15,15517.9,6.47,8.63,6.5
75,28,2011,4.1,19.7,460962.0,7.25,15517.9,9.48,6.53,10.0
76,29,2011,3.6,25.4,1121330.0,7.25,15517.9,5.85,8.04,8.5
77,30,2011,3.8,28.2,195267.0,7.35,15517.9,5.27,9.12,6.9
78,31,2011,3.6,27.8,412756.0,7.25,15517.9,6.43,7.99,4.4
79,32,2011,4.7,22.2,165437.0,8.25,15517.9,6.65,9.05,13.0
80,33,2011,3.1,33.1,359839.0,7.25,15517.9,14.04,12.27,5.4
81,34,2011,4.2,35.0,1141570.0,7.25,15517.9,11.43,13.47,9.3
82,35,2011,4.1,25.4,405339.0,7.5,15517.9,6.06,9.07,7.5
83,36,2011,4.4,32.5,5288932.0,7.25,15517.9,7.83,15.81,8.3
84,37,2011,4.3,26.5,2668842.0,7.25,15517.9,8.13,6.01,10.3
85,38,2011,4.3,26.5,211057.0,7.25,15517.9,7.61,6.24,3.5
86,39,2011,3.6,24.5,2221827.0,7.4,15517.9,9.63,6.12,8.8
87,40,2011,4.2,23.0,444722.0,7.25,15517.9,5.46,7.6,5.9
88,41,2011,3.7,29.0,739733.0,8.5,15517.9,5.47,8.15,9.5
89,42,2011,4,26.7,3315363.0,7.25,15517.9,7.73,10.03,7.9
90,44,2011,3.7,30.6,459321.0,7.4,15517.9,11.27,12.37,11.0
91,45,2011,4.3,24.2,620533.0,7.25,15517.9,5.94,9.3,10.6
92,46,2011,4.1,25.8,136305.0,7.25,15517.9,7.76,6.2,4.7
93,47,2011,3.6,23.0,1016915.0,7.25,15517.9,10.27,7.23,9.0
94,48,2011,5.2,26.1,4661517.0,7.25,15517.9,6.24,8.83,7.8
95,49,2011,5,29.6,627180.0,7.25,15517.9,5.1,7.35,6.7
96,50,2011,2.9,33.8,137303.0,8.15,15517.9,14.0,9.83,5.5
97,51,2011,4.5,34.4,1390412.0,7.25,15517.9,7.95,6.49,6.6
98,53,2011,4.3,31.4,1502284.0,8.67,15517.9,4.09,7.49,9.3
99,54,2011,3.3,17.6,210899.0,7.25,15517.9,6.18,8.14,8.1
100,55,2011,3.1,26.0,1442845.0,7.25,15517.9,10.42,7.33,7.8
101,56,2011,4.6,24.2,57549.0,7.25,15517.9,5.41,7.72,5.8
102,01,2012,3.9,22.3,830538.0,7.25,16155.3,6.22,10.63,8.0
103,02,2012,5,27.5,181983.0,7.75,16155.3,14.93,16.82,7.1
104,04,2012,5.3,26.6,1039424.0,7.65,16155.3,9.53,6.53,8.3
105,05,2012,3.6,19.8,289364.0,7.25,16155.3,5.76,7.71,7.6
106,06,2012,4.7,30.5,8401638.0,8.0,16155.3,13.41,10.49,10.4
